en,cn,num
person_feeds_cat, 人喂猫,1
person_crawls_out_from_under_vehicle, 人从车底爬出,28
person_hugs_person_from_side, 人从侧面拥抱人,29
person_throws_object_to_dog, 人向狗扔物品,37
person_points_to_dog, 人指向狗,43
person_takes_letters_from_mailbox, 人从邮箱中取信,65
person_puts_letters_in_mailbox, 人把信放进邮箱,68
person_uncrates_dog, 人打开笼子放出狗,68
person_pulls_wheeled_trashcan, 人拖动带轮垃圾桶,74
person_feeds_dog, 人喂狗,75
person_crates_dog, 人把狗放进笼子,77
person_pushes_wheeled_trashcan, 人推动带轮垃圾桶,81
person_takes_down_smoke_detector, 人拿下烟雾探测器,83
person_puts_up_smoke_detector, 人安装烟雾探测器,92
person_falls_into_pool, 人跌入游泳池,99
person_jumps_into_pool, 人跳入游泳池,100
person_trips_on_stair, 人在楼梯上绊倒,110
person_exits_pool, 人从游泳池出来,172
person_takes_off_boots, 人脱掉靴子,190
person_somersaults, 人做翻筋斗,203
person_unloads_box_onto_table, 人把箱子倒在桌子上,203
person_takes_object_from_toaster, 人从烤面包机中取物品,210
person_closes_jewelry_box, 人关上珠宝盒,213
person_spills_on_floor, 人把东西洒在地板上,218
person_unloads_box_onto_floor, 人把箱子倒在地板上,220
person_leans_agains_car, 人靠在车上,225
person_puts_object_into_toaster, 人把物品放进烤面包机,227
person_closes_mailbox, 人关上邮箱,232
person_puts_on_boots, 人穿上靴子,236
person_unattaches_leash_from_dog, 人解开狗的绳子,238
person_cleans_dryer_lint_trap, 人清理干衣机的滤网,247
person_spills_on_table, 人把东西洒在桌子上,247
person_searches_jewelry_box, 人搜索珠宝盒,253
person_opens_mailbox, 人打开邮箱,257
person_attaches_leash_to_dog, 人给狗系上绳子,261
person_opens_jewelry_box, 人打开珠宝盒,267
person_unloads_dishwasher, 人卸载洗碗机,292
person_adjusts_thermostat, 人调节恒温器,301
person_closes_dishwasher, 人关闭洗碗机,302
person_loads_dishwasher, 人装满洗碗机,317
person_cleans_eyeglasses, 人清洁眼镜,318
person_opens_dishwasher, 人打开洗碗机,324
person_carries_person_on_shoulders, 人背着人,350
person_hugs_cat, 人拥抱猫,355
person_pets_cat, 人抚摸猫,384
person_handstand, 人做倒立,413
person_hugs_dog, 人拥抱狗,422
